red_win,red_opr_sum,red_epa_sum,red_climb_l3_any,red_climb_l2_count,red_climb_l1_count,red_auto_align_sum,red_depot_sum,red_outpost_sum,red_under_trench_sum,red_over_bump_sum,red_fuel_scorer_count,red_driver_hours_sum,red_driver_hours_max,red_build_quality_mean,blue_opr_sum,blue_epa_sum,blue_climb_l3_any,blue_climb_l2_count,blue_climb_l1_count,blue_auto_align_sum,blue_depot_sum,blue_outpost_sum,blue_under_trench_sum,blue_over_bump_sum,blue_fuel_scorer_count,blue_driver_hours_sum,blue_driver_hours_max,blue_build_quality_mean
0,145.17473822659636,4516.0,0,0,0,3,1,0,1,3,3,105.0,90.0,7.0,161.6599199456537,4525.0,1,0,1,1,0,0,2,3,1,50.0,50.0,5.666666666666667
1,118.55898929234935,4433.0,0,0,0,2,0,0,2,3,3,9.0,8.0,8.0,57.616228273700564,4408.0,0,0,2,2,0,0,2,3,1,36.0,30.0,6.0
1,215.58780727993752,4504.0,0,0,1,1,0,0,1,2,1,47.0,40.0,7.0,58.44384829279198,4339.0,0,1,0,0,0,0,3,2,2,22.0,12.0,6.333333333333333
1,108.7089663458737,4414.0,0,0,0,2,1,0,0,2,2,5.0,5.0,7.333333333333333,96.81503524137634,4365.0,0,0,0,1,0,0,0,2,1,10.0,10.0,7.0
0,17.09451228004858,4309.0,0,0,1,2,0,0,2,3,2,100.0,70.0,6.333333333333333,203.48418606911744,4606.0,1,0,0,2,0,0,3,3,2,141.0,90.0,7.0
1,170.1988356135601,4582.0,0,0,1,2,0,0,3,2,2,12.0,7.0,6.333333333333333,82.09187567482883,4345.0,0,0,2,0,0,0,0,3,1,47.5,40.0,4.333333333333333
0,56.639985634520826,4353.0,0,0,1,1,0,0,2,3,3,30.0,30.0,6.0,162.54240993251724,4470.0,0,0,0,2,0,0,2,2,2,8.0,8.0,6.0
0,36.740261917050404,4248.0,0,0,0,0,0,0,3,3,1,17.0,12.0,4.333333333333333,107.10059795777372,4446.0,0,1,0,2,1,1,2,3,2,5.0,5.0,7.666666666666667
0,56.362424589925475,4217.0,0,0,0,1,0,0,1,2,1,40.0,40.0,6.666666666666667,194.2670781796903,4637.0,1,0,1,2,0,0,2,2,0,80.0,50.0,7.0
0,99.29952134201432,4340.0,0,0,1,1,0,0,0,2,2,0.0,0.0,6.333333333333333,228.26592641117375,4640.0,0,0,2,2,1,0,1,3,2,18.0,7.0,7.0
1,94.27552229876488,4387.0,0,1,0,1,0,0,2,3,2,13.0,8.0,7.666666666666667,55.77377248940699,4299.0,0,0,1,0,0,0,2,3,2,7.5,5.0,4.0
0,71.95855518562104,4434.0,0,0,0,2,0,0,2,2,2,15.0,10.0,5.666666666666667,114.48415915977513,4510.0,0,0,0,3,1,1,3,3,2,120.0,90.0,6.333333333333333
1,67.24651162494546,4370.0,0,0,0,1,0,0,1,3,2,0.0,0.0,5.666666666666667,59.483195385349894,4304.0,0,0,0,1,0,0,3,3,3,82.0,70.0,6.0
1,94.20782937972476,4437.0,0,0,1,1,0,0,1,2,2,1.5,1.5,4.333333333333333,72.46197585303997,4277.0,0,1,0,1,1,0,1,3,2,50.0,40.0,8.0
1,196.28194862329204,4508.0,1,0,1,1,0,0,1,2,1,50.0,50.0,6.666666666666667,160.9133384196674,4499.0,0,0,1,1,0,0,1,2,1,96.0,90.0,4.333333333333333
1,188.58201618085423,4555.0,0,0,1,3,0,0,2,3,3,77.0,70.0,7.0,88.40693924440669,4377.0,0,0,0,2,0,0,2,3,2,8.0,8.0,6.0
1,64.62235169144891,4355.0,0,0,0,2,1,1,3,3,1,5.0,5.0,5.333333333333333,39.52130485189787,4313.0,0,0,0,0,0,0,2,3,3,1.0,1.0,6.666666666666667
0,73.2484721867589,4409.0,0,0,1,2,0,0,2,3,2,52.0,30.0,7.666666666666667,63.170490235576445,4408.0,0,0,0,1,0,0,2,2,1,35.0,30.0,6.333333333333333
0,108.71143617664254,4442.0,0,1,1,0,0,0,2,2,2,707.0,475.0,4.666666666666667,192.45345460801354,4560.0,0,0,2,1,0,0,1,2,3,30.0,20.0,6.333333333333333
0,136.02069632786808,4523.0,1,1,2,2,2,1,3,3,2,518.0,500.0,6.666666666666667,235.90697924114914,4692.0,0,0,2,3,1,0,1,3,2,80.0,70.0,7.333333333333333
1,119.51654054875988,4387.0,0,1,1,1,0,0,0,3,2,13.0,8.0,7.333333333333333,48.27918409020209,4284.0,0,0,1,1,1,1,2,2,3,95.0,60.0,56.333333333333336
0,84.29863155098823,4335.0,0,0,0,2,0,1,2,3,1,40.0,30.0,7.0,256.20308838093985,4679.0,0,0,1,1,0,0,1,3,2,150.0,100.0,6.0
1,96.70620390622443,4422.0,0,0,0,2,0,1,2,3,3,4.0,4.0,9.0,12.12070207876371,4124.0,0,0,0,1,0,0,1,3,2,30.0,20.0,5.0
0,45.94958083496429,4268.0,0,1,1,2,0,0,2,3,2,101.0,60.0,31.666666666666668,289.52682849468385,4728.0,0,0,1,3,1,1,2,3,2,35.0,25.0,7.0
0,83.14820466663826,4395.0,0,0,1,0,0,0,3,2,2,495.0,475.0,4.333333333333333,132.06182155895337,4469.0,1,1,1,2,1,0,3,2,2,560.0,500.0,32.333333333333336
1,55.1297082884581,4243.0,0,0,2,0,1,1,1,2,2,37.0,32.0,5.333333333333333,71.85654118479277,4314.0,0,1,0,2,0,1,1,3,2,205.0,200.0,6.666666666666667
0,18.899264287121333,4168.0,0,0,2,0,1,1,1,3,3,32.0,18.0,5.333333333333333,57.67231690028295,4341.0,0,0,0,2,0,0,3,3,2,95.0,70.0,6.666666666666667
0,118.04956460006721,4408.0,0,0,0,2,1,1,2,3,3,165.0,100.0,7.0,349.4921978694859,4884.0,0,0,1,2,0,1,0,3,3,62.0,50.0,8.666666666666666
0,87.70567187157476,4351.0,0,0,2,1,2,1,0,3,2,15.0,10.0,6.666666666666667,224.80196257799028,4650.0,0,0,0,2,0,0,2,3,2,0.0,0.0,7.0
